"Region","Size","Cores","MemoryGB"
"swedencentral","Standard_D2pls_v5","2","4"
"swedencentral","Standard_B2pls_v2","2","4"
"swedencentral","Standard_D2als_v7","2","4"
"swedencentral","Standard_D2alds_v7","2","4"
"swedencentral","Standard_F2als_v7","2","4"
"swedencentral","Standard_F2alds_v7","2","4"
"swedencentral","Standard_D2ls_v7","2","4"
"swedencentral","Standard_D2lds_v7","2","4"
"westeurope","Standard_B2s","2","4"
"westeurope","Standard_F2","2","4"
"westeurope","Standard_F2s","2","4"
"westeurope","Standard_A2_v2","2","4"
"westeurope","Standard_D2pls_v6","2","4"
"westeurope","Standard_D2plds_v6","2","4"
"westeurope","Standard_D2als_v6","2","4"
"westeurope","Standard_D2alds_v6","2","4"
"westeurope","Standard_F2als_v6","2","4"
"westeurope","Standard_F2s_v2","2","4"
"westeurope","Standard_D2ls_v5","2","4"
"westeurope","Standard_D2lds_v5","2","4"
"westeurope","Standard_B2ls_v2","2","4"
"westeurope","Standard_B2als_v2","2","4"
"westeurope","Standard_D2ls_v6","2","4"
"westeurope","Standard_D2lds_v6","2","4"
"westeurope","Standard_D2plds_v5","2","4"
"westeurope","Standard_D2pls_v5","2","4"
"westeurope","Standard_B2pls_v2","2","4"
"westeurope","Standard_D2als_v7","2","4"
"westeurope","Standard_D2alds_v7","2","4"
"westeurope","Standard_F2als_v7","2","4"
"westeurope","Standard_F2alds_v7","2","4"
"uksouth","Standard_B2s","2","4"
"uksouth","Standard_F2","2","4"
"uksouth","Standard_A2_v2","2","4"
"uksouth","Standard_F2s","2","4"
"uksouth","Standard_F2s_v2","2","4"
"uksouth","Standard_B2ls_v2","2","4"
"uksouth","Standard_D2ls_v5","2","4"
"uksouth","Standard_D2lds_v5","2","4"
"uksouth","Standard_D2als_v7","2","4"
"uksouth","Standard_D2alds_v7","2","4"
"uksouth","Standard_F2als_v7","2","4"
"uksouth","Standard_F2alds_v7","2","4"
"uksouth","Standard_B2als_v2","2","4"
"uksouth","Standard_D2pls_v6","2","4"
"uksouth","Standard_D2plds_v6","2","4"
"uksouth","Standard_D2als_v6","2","4"
"uksouth","Standard_D2alds_v6","2","4"
"uksouth","Standard_F2als_v6","2","4"
"uksouth","Standard_D2ls_v6","2","4"
"uksouth","Standard_D2lds_v6","2","4"
"uksouth","Standard_D2nls_v6","2","4"
"uksouth","Standard_D2nlds_v6","2","4"
"uksouth","Standard_D2plds_v5","2","4"
"uksouth","Standard_D2pls_v5","2","4"
"uksouth","Standard_B2pls_v2","2","4"
"centralus","Standard_B2als_v2","2","4"
"centralus","Standard_A2_v2","2","4"
"centralus","Standard_B2s","2","4"
"centralus","Standard_F2","2","4"
"centralus","Standard_F2s","2","4"
"centralus","Standard_F2s_v2","2","4"
"centralus","Standard_D2ls_v5","2","4"
"centralus","Standard_D2lds_v5","2","4"
"centralus","Standard_B2ls_v2","2","4"
"centralus","Standard_D2als_v6","2","4"
"centralus","Standard_D2alds_v6","2","4"
"centralus","Standard_F2als_v6","2","4"
"centralus","Standard_D2pls_v6","2","4"
"centralus","Standard_D2plds_v6","2","4"
"centralus","Standard_D2ls_v6","2","4"
"centralus","Standard_D2lds_v6","2","4"
"centralus","Standard_D2nls_v6","2","4"
"centralus","Standard_D2nlds_v6","2","4"
"centralus","Standard_D2als_v7","2","4"
"centralus","Standard_D2alds_v7","2","4"
"centralus","Standard_F2als_v7","2","4"
"centralus","Standard_F2alds_v7","2","4"
"centralus","Standard_D2plds_v5","2","4"
"centralus","Standard_D2pls_v5","2","4"
"centralus","Standard_B2pls_v2","2","4"
"centralus","Standard_D2ls_v7","2","4"
"centralus","Standard_D2lds_v7","2","4"
"southafricanorth","Standard_B2s","2","4"
"southafricanorth","Standard_F2","2","4"
"southafricanorth","Standard_F2s","2","4"
"southafricanorth","Standard_A2_v2","2","4"
"southafricanorth","Standard_B2als_v2","2","4"
"southafricanorth","Standard_F2s_v2","2","4"
"southafricanorth","Standard_D2ls_v5","2","4"
"southafricanorth","Standard_D2lds_v5","2","4"
"southafricanorth","Standard_B2ls_v2","2","4"
"southafricanorth","Standard_D2als_v6","2","4"
"southafricanorth","Standard_D2alds_v6","2","4"
"southafricanorth","Standard_F2als_v6","2","4"
"southafricanorth","Standard_D2ls_v6","2","4"
"southafricanorth","Standard_D2lds_v6","2","4"
"southafricanorth","Standard_D2pls_v6","2","4"
"southafricanorth","Standard_D2plds_v6","2","4"
"centralindia","Standard_F2s_v2","2","4"
"centralindia","Standard_D2ls_v6","2","4"
"centralindia","Standard_D2lds_v6","2","4"
"centralindia","Standard_B2als_v2","2","4"
"centralindia","Standard_B2s","2","4"
"centralindia","Standard_F2","2","4"
"centralindia","Standard_F2s","2","4"
"centralindia","Standard_A2_v2","2","4"
"centralindia","Standard_D2plds_v5","2","4"
"centralindia","Standard_D2pls_v5","2","4"
"centralindia","Standard_B2pls_v2","2","4"
"centralindia","Standard_D2ls_v5","2","4"
"centralindia","Standard_D2lds_v5","2","4"
"centralindia","Standard_B2ls_v2","2","4"
"centralindia","Standard_D2als_v6","2","4"
"centralindia","Standard_D2alds_v6","2","4"
"centralindia","Standard_F2als_v6","2","4"
"centralindia","Standard_D2pls_v6","2","4"
"centralindia","Standard_D2plds_v6","2","4"
"eastasia","Standard_D2als_v6","2","4"
"eastasia","Standard_D2alds_v6","2","4"
"eastasia","Standard_F2als_v6","2","4"
"eastasia","Standard_A2_v2","2","4"
"eastasia","Standard_B2s","2","4"
"eastasia","Standard_F2s_v2","2","4"
"eastasia","Standard_F2","2","4"
"eastasia","Standard_F2s","2","4"
"eastasia","Standard_D2ls_v5","2","4"
"eastasia","Standard_D2lds_v5","2","4"
"eastasia","Standard_B2als_v2","2","4"
"eastasia","Standard_B2ls_v2","2","4"
"eastasia","Standard_D2ls_v6","2","4"
"eastasia","Standard_D2lds_v6","2","4"
"eastasia","Standard_D2nls_v6","2","4"
"eastasia","Standard_D2nlds_v6","2","4"
"eastasia","Standard_D2pls_v6","2","4"
"eastasia","Standard_D2plds_v6","2","4"
"eastasia","Standard_D2plds_v5","2","4"
"eastasia","Standard_D2pls_v5","2","4"
"eastasia","Standard_B2pls_v2","2","4"
"indiasouthcentral","Standard_A2_v2","2","4"
"indiasouthcentral","Standard_B2s","2","4"
"indiasouthcentral","Standard_F2","2","4"
"indiasouthcentral","Standard_F2s","2","4"
"indiasouthcentral","Standard_F2s_v2","2","4"
"indiasouthcentral","Standard_D2ls_v5","2","4"
"indiasouthcentral","Standard_D2lds_v5","2","4"
"indiasouthcentral","Standard_B2ls_v2","2","4"
"indiasouthcentral","Standard_D2ls_v6","2","4"
